year_week_num,category,store, sales,volume
201926,BEER&CIDER,Store 11," € 2,954.64 ",745
202141,BEER&CIDER,Store 3," € 43,378.31 ",3865
201732,WINES,Store 9," € 11,855.65 ",1473
201837,SPIRITS,Store 1," € 18,526.30 ",1283
201841,BEER&CIDER,Store 13," € 2,612.57 ",1300
201901,WINES,Store 13," € 3,005.60 ",373
202239,WINES,Store 13," € 3,163.77 ",373
202244,SPIRITS,Store 2," € 3,866.37 ",217
202142,BEER&CIDER,Store 3," € 68,277.99 ",5954
202242,WINES,Store 8," € 20,405.75 ",2297
202039,SPIRITS,Store 9," € 20,512.27 ",1317
201841,BEER&CIDER,Store 9," € 14,611.39 ",8389
202010,WINES,Store 9," € 16,130.23 ",1881
202204,WINES,Store 11," € 4,549.13 ",529
201818,WINES,Store 11," € 2,963.13 ",381
201718,WINES,Store 2," € 29,478.28 ",3692
201713,BEER&CIDER,Store 4," € 25,428.78 ",9932
201809,WINES,Store 10," € 10,156.90 ",1309
201837,BEER&CIDER,Store 12," € 1,970.97 ",485
201941,SPIRITS,Store 4," € 34,544.47 ",1915
201907,SPIRITS,Store 2," € 22,045.40 ",1309
201805,BEER&CIDER,Store 8," € 25,216.62 ",14967
201919,SPIRITS,Store 10," € 9,977.67 ",745
202242,SPIRITS,Store 8," € 22,633.78 ",1257
202035,WINES,Store 2," € 42,651.35 ",5027
201945,BEER&CIDER,Store 1," € 20,804.25 ",6249
202036,SPIRITS,Store 11," € 2,353.35 ",199
202047,SPIRITS,Store 11," € 2,674.27 ",191
201917,WINES,Store 10," € 11,082.07 ",1369
202224,WINES,Store 11," € 4,281.94 ",485
201916,SPIRITS,Store 1," € 18,627.35 ",1222
201921,SPIRITS,Store 9," € 7,697.13 ",641
201933,BEER&CIDER,Store 3," € 18,547.71 ",3250
202030,WINES,Store 4," € 30,793.45 ",3415
201811,WINES,Store 13," € 2,681.29 ",329
201806,WINES,Store 12," € 2,792.57 ",364
201822,BEER&CIDER,Store 4," € 17,667.69 ",4030
201724,SPIRITS,Store 4," € 12,808.99 ",737
202141,WINES,Store 3," € 63,201.75 ",5599
201834,WINES,Store 8," € 12,404.60 ",1707
202126,WINES,Store 10," € 14,039.83 ",1595
202224,BEER&CIDER,Store 2," € 38,229.19 ",3831
202129,SPIRITS,Store 9," € 10,012.51 ",676
201719,SPIRITS,Store 11," € 1,608.62 ",130
201834,WINES,Store 3," € 25,703.43 ",3259
202216,WINES,Store 5," € 12,381.72 ",1283
201817,SPIRITS,Store 12," € 1,197.91 ",104
202227,SPIRITS,Store 5," € 7,003.53 ",468
202224,WINES,Store 2," € 33,525.27 ",3605
201844,WINES,Store 8," € 9,678.24 ",1153
201707,BEER&CIDER,Store 12," € 2,161.47 ",719
202243,WINES,Store 12," € 4,781.57 ",529
202007,BEER&CIDER,Store 10," € 11,683.01 ",2548
201702,WINES,Store 9," € 10,576.97 ",1378
202104,BEER&CIDER,Store 1," € 42,471.87 ",4533
202109,BEER&CIDER,Store 4," € 35,910.68 ",4125
202151,BEER&CIDER,Store 3," € 22,227.66 ",2253
202114,BEER&CIDER,Store 12," € 5,575.79 ",875
202047,WINES,Store 10," € 11,183.55 ",1343
201727,WINES,Store 12," € 2,313.05 ",295
201921,WINES,Store 4," € 25,976.86 ",3042
201743,BEER&CIDER,Store 9," € 30,244.24 ",14092
201735,WINES,Store 3," € 29,967.25 ",3796
202105,SPIRITS,Store 1," € 54,147.17 ",3874
202149,BEER&CIDER,Store 9," € 8,292.35 ",1023
201812,BEER&CIDER,Store 9," € 11,353.25 ",3744
202225,WINES,Store 10," € 13,679.47 ",1465
201842,BEER&CIDER,Store 13," € 2,368.77 ",997
202020,BEER&CIDER,Store 13," € 5,375.24 ",1005
201749,SPIRITS,Store 11," € 1,450.19 ",104
201902,SPIRITS,Store 4," € 13,354.90 ",745
202003,BEER&CIDER,Store 8," € 14,437.28 ",7245
202106,BEER&CIDER,Store 11," € 3,969.25 ",702
201837,SPIRITS,Store 12," € 1,447.68 ",104
201748,WINES,Store 11," € 2,168.40 ",295
202011,SPIRITS,Store 13," € 2,675.49 ",182
202014,BEER&CIDER,Store 12," € 6,236.97 ",1629
201924,WINES,Store 8," € 10,642.23 ",1560
202139,WINES,Store 13," € 3,630.12 ",442
202125,SPIRITS,Store 11," € 1,957.71 ",156
201811,BEER&CIDER,Store 9," € 9,367.11 ",2375
201818,SPIRITS,Store 2," € 17,191.98 ",1231
202134,BEER&CIDER,Store 12," € 3,920.89 ",615
202130,BEER&CIDER,Store 13," € 3,948.88 ",711
201726,WINES,Store 8," € 9,809.97 ",1283
201906,BEER&CIDER,Store 11," € 2,323.53 ",485
202211,BEER&CIDER,Store 8," € 13,115.18 ",1369
201948,SPIRITS,Store 10," € 6,550.01 ",451
202052,BEER&CIDER,Store 8," € 16,509.13 ",1820
201926,BEER&CIDER,Store 2," € 25,139.49 ",8675
202112,SPIRITS,Store 3," € 27,190.71 ",1924
201805,SPIRITS,Store 3," € 34,286.63 ",2011
201825,WINES,Store 8," € 10,804.30 ",1517
202136,WINES,Store 10," € 15,043.77 ",1820
202220,BEER&CIDER,Store 3," € 36,881.35 ",3701
201923,SPIRITS,Store 3," € 18,651.88 ",1482
201924,BEER&CIDER,Store 8," € 12,128.39 ",3475
202139,BEER&CIDER,Store 9," € 12,948.43 ",1343
201903,WINES,Store 3," € 28,379.69 ",3510
201943,WINES,Store 3," € 78,120.47 ",9958
201838,BEER&CIDER,Store 10," € 9,120.02 ",2713
202122,SPIRITS,Store 3," € 25,830.57 ",1829
201706,SPIRITS,Store 8," € 10,207.69 ",693
202025,BEER&CIDER,Store 12," € 4,144.14 ",1109
202005,WINES,Store 12," € 6,700.20 ",780
201926,BEER&CIDER,Store 12," € 2,590.55 ",633
201931,BEER&CIDER,Store 4," € 14,643.98 ",3042
202021,BEER&CIDER,Store 4," € 25,369.93 ",6396
202035,BEER&CIDER,Store 11," € 3,955.90 ",988
202102,WINES,Store 3," € 37,255.75 ",4377
202214,SPIRITS,Store 1," € 28,373.71 ",1733
201812,WINES,Store 9," € 12,096.50 ",1569
202139,BEER&CIDER,Store 4," € 30,185.83 ",2973
201914,SPIRITS,Store 8," € 11,685.01 ",962
201901,BEER&CIDER,Store 9," € 6,973.29 ",1300
202214,SPIRITS,Store 2," € 30,603.04 ",1785
201838,WINES,Store 10," € 14,910.22 ",1933
201926,WINES,Store 1," € 22,743.15 ",2765
202124,SPIRITS,Store 1," € 22,866.22 ",1517
202235,SPIRITS,Store 11," € 2,589.25 ",243
202037,WINES,Store 10," € 18,096.43 ",2314
201814,WINES,Store 3," € 29,629.17 ",4108
201807,SPIRITS,Store 1," € 13,686.83 ",927
202016,BEER&CIDER,Store 11," € 5,689.06 ",1369
201716,SPIRITS,Store 3," € 15,796.73 ",1075
202212,SPIRITS,Store 3," € 22,351.07 ",1352
202209,BEER&CIDER,Store 4," € 22,314.15 ",2375
201831,SPIRITS,Store 9," € 8,422.35 ",607
202042,BEER&CIDER,Store 3," € 86,750.21 ",17359
201703,WINES,Store 4," € 26,089.27 ",3267
202135,SPIRITS,Store 1," € 36,283.87 ",2565
201926,WINES,Store 12," € 2,920.75 ",373
202025,WINES,Store 1," € 30,161.21 ",3493
201906,WINES,Store 12," € 2,918.67 ",373
201812,SPIRITS,Store 9," € 8,095.53 ",607
202243,BEER&CIDER,Store 2," € 102,014.64 ",8051
201847,SPIRITS,Store 2," € 11,520.95 ",676
201723,SPIRITS,Store 9," € 10,327.11 ",607
202238,BEER&CIDER,Store 4," € 19,492.63 ",2227
202218,BEER&CIDER,Store 13," € 3,873.31 ",581
201808,BEER&CIDER,Store 11," € 2,632.15 ",581
202110,SPIRITS,Store 4," € 24,171.77 ",1655
202241,BEER&CIDER,Store 8," € 11,199.41 ",1213
201951,SPIRITS,Store 9," € 7,611.76 ",529
202012,WINES,Store 3," € 32,727.41 ",3796
201746,SPIRITS,Store 8," € 7,172.10 ",503
201903,BEER&CIDER,Store 3," € 39,242.15 ",16155
202201,BEER&CIDER,Store 3," € 24,237.55 ",2496
201918,SPIRITS,Store 10," € 8,931.43 ",676
201942,SPIRITS,Store 4," € 51,514.32 ",3007
202219,SPIRITS,Store 13," € 1,940.64 ",139
201806,BEER&CIDER,Store 8," € 9,795.67 ",2418
202109,BEER&CIDER,Store 9," € 20,446.49 ",2817
202204,BEER&CIDER,Store 2," € 22,719.32 ",2366
202216,BEER&CIDER,Store 5," € 8,420.36 ",893
202006,SPIRITS,Store 12," € 2,251.77 ",130
201714,SPIRITS,Store 13," € 1,110.81 ",78
201745,SPIRITS,Store 3," € 8,732.53 ",537
201937,WINES,Store 11," € 3,154.49 ",433
201822,SPIRITS,Store 9," € 7,615.75 ",572
202030,SPIRITS,Store 9," € 10,041.55 ",806
201944,SPIRITS,Store 8," € 18,799.39 ",1257
202239,WINES,Store 6," € 4,718.05 ",520
201832,BEER&CIDER,Store 13," € 3,228.68 ",685
202045,SPIRITS,Store 1," € 17,285.67 ",1135
202037,BEER&CIDER,Store 10," € 10,702.12 ",2037
202104,WINES,Store 2," € 46,883.81 ",5425
202224,BEER&CIDER,Store 11," € 5,136.82 ",624
201827,SPIRITS,Store 12," € 2,202.46 ",173
202238,SPIRITS,Store 9," € 14,011.05 ",841
201950,BEER&CIDER,Store 9," € 6,031.31 ",1491
201847,BEER&CIDER,Store 1," € 15,715.70 ",3891
201747,BEER&CIDER,Store 1," € 15,633.54 ",3839
202120,SPIRITS,Store 13," € 1,519.96 ",113
202142,BEER&CIDER,Store 8," € 23,617.10 ",1976
201729,SPIRITS,Store 1," € 12,515.88 ",867
202224,BEER&CIDER,Store 1," € 35,816.91 ",3501
202104,BEER&CIDER,Store 12," € 5,371.69 ",1127
201806,BEER&CIDER,Store 12," € 2,260.79 ",485
202112,WINES,Store 3," € 31,893.68 ",3597
201931,BEER&CIDER,Store 13," € 2,927.77 ",702
201836,WINES,Store 12," € 3,227.99 ",390
201742,BEER&CIDER,Store 9," € 15,152.28 ",6283
202025,BEER&CIDER,Store 1," € 29,901.13 ",5347
201928,WINES,Store 10," € 9,765.08 ",1179
201807,SPIRITS,Store 12," € 1,330.07 ",113
201802,BEER&CIDER,Store 13," € 2,403.70 ",537
201725,WINES,Store 3," € 25,655.41 ",3285
202243,BEER&CIDER,Store 11," € 4,222.40 ",399
201729,WINES,Store 2," € 21,872.67 ",2687
201904,BEER&CIDER,Store 8," € 10,786.45 ",3796
201803,SPIRITS,Store 13," € 1,361.53 ",95
202125,BEER&CIDER,Store 10," € 9,260.77 ",1066
202218,BEER&CIDER,Store 9," € 13,442.95 ",1759
202234,WINES,Store 11," € 3,805.88 ",459
202021,WINES,Store 4," € 33,580.56 ",3779
202134,BEER&CIDER,Store 1," € 38,771.03 ",3666
202215,BEER&CIDER,Store 10," € 10,394.97 ",1118
202105,BEER&CIDER,Store 2," € 60,496.71 ",6639
201803,SPIRITS,Store 4," € 19,992.35 ",1075
202109,WINES,Store 9," € 20,658.04 ",2418
201947,WINES,Store 11," € 2,728.27 ",338
201817,SPIRITS,Store 2," € 17,609.28 ",1196
201845,SPIRITS,Store 8," € 8,674.73 ",589
201743,SPIRITS,Store 13," € 1,691.30 ",121
201733,SPIRITS,Store 4," € 15,301.61 ",823
202115,SPIRITS,Store 11," € 1,971.75 ",173
201832,WINES,Store 9," € 11,382.28 ",1395
201926,SPIRITS,Store 12," € 1,299.48 ",104
202103,WINES,Store 8," € 13,084.15 ",1681
201835,SPIRITS,Store 3," € 23,758.11 ",1482
202040,BEER&CIDER,Store 13," € 3,628.91 ",1040
202221,SPIRITS,Store 3," € 24,423.10 ",1629
202151,WINES,Store 3," € 25,242.79 ",2730
202023,SPIRITS,Store 3," € 23,154.91 ",2080
202207,BEER&CIDER,Store 5," € 8,756.37 ",1005
201909,SPIRITS,Store 10," € 6,558.15 ",477
202041,SPIRITS,Store 13," € 1,950.61 ",182
202014,SPIRITS,Store 3," € 25,395.15 ",2435
202001,BEER&CIDER,Store 13," € 2,481.09 ",520
201708,SPIRITS,Store 12," € 1,306.67 ",113
201812,WINES,Store 13," € 2,873.69 ",364
201924,SPIRITS,Store 3," € 14,161.85 ",1083
201738,WINES,Store 12," € 2,959.06 ",381
202143,SPIRITS,Store 8," € 34,781.67 ",2132
201729,SPIRITS,Store 11," € 1,485.12 ",113
202016,WINES,Store 11," € 5,665.14 ",702
202044,BEER&CIDER,Store 12," € 4,041.27 ",858
202215,WINES,Store 10," € 12,462.23 ",1404
202150,SPIRITS,Store 9," € 9,762.39 ",581
202016,WINES,Store 2," € 34,525.75 ",4238
202104,WINES,Store 12," € 5,687.50 ",685
201737,WINES,Store 12," € 2,726.62 ",347
202003,WINES,Store 8," € 13,425.62 ",1725
201931,WINES,Store 13," € 2,944.59 ",373
201924,SPIRITS,Store 8," € 10,107.76 ",780
201743,SPIRITS,Store 9," € 29,420.13 ",1690
201951,WINES,Store 4," € 27,204.67 ",3077
202130,WINES,Store 13," € 3,264.47 ",390
201804,WINES,Store 8," € 13,778.44 ",1967
202144,BEER&CIDER,Store 12," € 3,159.95 ",433
202214,SPIRITS,Store 12," € 2,278.03 ",182
202104,SPIRITS,Store 12," € 2,183.13 ",182
202209,WINES,Store 13," € 3,586.87 ",416
201947,BEER&CIDER,Store 10," € 4,931.68 ",988
202052,BEER&CIDER,Store 3," € 42,598.23 ",5027
202202,WINES,Store 8," € 11,522.16 ",1352
202042,WINES,Store 3," € 85,689.85 ",10963
201843,BEER&CIDER,Store 3," € 74,001.37 ",36157
202217,SPIRITS,Store 5," € 5,448.99 ",399
202104,SPIRITS,Store 8," € 13,887.38 ",971
201916,SPIRITS,Store 12," € 1,233.87 ",104
201828,SPIRITS,Store 11," € 1,779.44 ",147
201709,WINES,Store 10," € 14,944.11 ",2002
201715,SPIRITS,Store 3," € 11,938.77 ",806
201705,BEER&CIDER,Store 8," € 15,774.89 ",6240
202244,SPIRITS,Store 11, € 267.45 ,26
202142,SPIRITS,Store 3," € 75,191.22 ",4316
201906,WINES,Store 2," € 26,994.07 ",3276
202208,SPIRITS,Store 9," € 9,813.79 ",598
202226,WINES,Store 10," € 14,002.30 ",1508
202121,WINES,Store 4," € 30,621.76 ",3397
202027,SPIRITS,Store 11," € 2,777.41 ",191
202233,SPIRITS,Store 12," € 3,044.08 ",243
202218,SPIRITS,Store 5," € 6,658.86 ",494
202239,WINES,Store 4," € 42,048.41 ",4351
201904,SPIRITS,Store 3," € 14,024.83 ",815
202211,WINES,Store 3," € 27,008.28 ",2903
201738,SPIRITS,Store 11," € 1,861.17 ",139
201831,BEER&CIDER,Store 9," € 7,773.74 ",1846
202229,WINES,Store 9," € 12,352.34 ",1300
201937,SPIRITS,Store 11," € 2,302.65 ",191
201742,WINES,Store 9," € 25,574.47 ",3415
202232,SPIRITS,Store 8," € 11,507.43 ",711
202151,SPIRITS,Store 4," € 16,766.53 ",936
202043,SPIRITS,Store 3," € 74,641.75 ",5105
201945,WINES,Store 12," € 2,976.13 ",329
201827,WINES,Store 2," € 21,688.16 ",2652
202010,BEER&CIDER,Store 13," € 6,825.26 ",1473
202006,SPIRITS,Store 2," € 29,451.41 ",1907
202241,SPIRITS,Store 3," € 38,271.65 ",2141
202142,WINES,Store 8," € 21,588.06 ",2461
201906,BEER&CIDER,Store 2," € 16,900.17 ",5330
202027,SPIRITS,Store 10," € 11,645.66 ",867
201738,SPIRITS,Store 2," € 20,366.58 ",1118
201816,WINES,Store 12," € 2,765.79 ",338
202035,BEER&CIDER,Store 2," € 32,432.57 ",5928
201709,BEER&CIDER,Store 10," € 10,469.94 ",4680
202150,WINES,Store 4," € 27,257.10 ",2782
201907,SPIRITS,Store 1," € 19,032.61 ",1153
202040,WINES,Store 4," € 59,188.05 ",7878
201740,SPIRITS,Store 10," € 15,532.40 ",962
201734,SPIRITS,Store 4," € 17,240.69 ",936
202005,BEER&CIDER,Store 12," € 4,244.76 ",1231
202016,SPIRITS,Store 12," € 3,283.11 ",225
201703,SPIRITS,Store 4," € 13,958.62 ",771
202125,SPIRITS,Store 1," € 22,096.36 ",1534
201948,BEER&CIDER,Store 10," € 5,468.06 ",1213
201847,WINES,Store 1," € 17,687.80 ",2167
201843,SPIRITS,Store 13," € 1,958.06 ",130
201739,WINES,Store 10," € 17,704.44 ",2245
201846,BEER&CIDER,Store 12," € 1,435.37 ",303
201714,WINES,Store 9," € 13,548.95 ",1777
202237,BEER&CIDER,Store 5," € 6,654.35 ",841
201708,WINES,Store 12," € 2,692.21 ",347
201851,BEER&CIDER,Store 9," € 6,152.81 ",1534
202007,WINES,Store 10," € 14,396.11 ",1699
202011,SPIRITS,Store 4," € 19,826.13 ",1135
202240,BEER&CIDER,Store 6," € 3,429.23 ",433
201817,SPIRITS,Store 1," € 17,880.81 ",1439
201944,WINES,Store 8," € 14,272.96 ",1794
201818,WINES,Store 2," € 28,910.70 ",3597
202033,BEER&CIDER,Store 8," € 12,386.57 ",1967
201823,SPIRITS,Store 9," € 10,377.38 ",771
202124,WINES,Store 12," € 3,516.07 ",399
201921,SPIRITS,Store 13," € 1,503.84 ",113
201946,WINES,Store 2," € 15,769.09 ",1941
201935,WINES,Store 8," € 13,174.11 ",1725
202017,WINES,Store 10," € 15,657.72 ",1803
202116,SPIRITS,Store 2," € 39,753.48 ",2479
201816,SPIRITS,Store 8," € 10,750.57 ",754
201739,WINES,Store 2," € 41,971.02 ",5668
201936,BEER&CIDER,Store 1," € 33,098.87 ",6535
202223,BEER&CIDER,Store 12," € 4,804.89 ",650
202036,SPIRITS,Store 12," € 2,083.55 ",191
202232,BEER&CIDER,Store 12," € 4,748.12 ",598
201912,SPIRITS,Store 13," € 1,192.79 ",87
201825,BEER&CIDER,Store 8," € 12,052.65 ",3683
201727,BEER&CIDER,Store 1," € 29,719.82 ",6292
201920,WINES,Store 9," € 11,152.09 ",1387
202244,SPIRITS,Store 1," € 4,308.11 ",269
202135,BEER&CIDER,Store 11," € 3,411.89 ",468
202114,BEER&CIDER,Store 2," € 50,877.41 ",4550
202051,BEER&CIDER,Store 13," € 4,639.87 ",789
202143,WINES,Store 8," € 26,555.97 ",3155
201737,BEER&CIDER,Store 2," € 18,717.40 ",5235
202023,BEER&CIDER,Store 8," € 14,543.71 ",2401
201808,SPIRITS,Store 1," € 12,793.04 ",893
201926,BEER&CIDER,Store 1," € 27,266.03 ",8320
201940,BEER&CIDER,Store 4," € 30,466.71 ",10192
202237,WINES,Store 5," € 11,625.55 ",1274
201723,WINES,Store 13," € 2,420.51 ",321
202133,SPIRITS,Store 3," € 24,010.74 ",1465
201814,BEER&CIDER,Store 3," € 38,458.42 ",17186
201803,WINES,Store 13," € 2,819.53 ",364
201707,WINES,Store 1," € 49,990.46 ",6604
201947,SPIRITS,Store 11," € 1,910.05 ",147
202209,WINES,Store 9," € 13,707.89 ",1499
202210,WINES,Store 4," € 28,168.66 ",2912
202026,BEER&CIDER,Store 11," € 3,470.22 ",884
201832,WINES,Store 13," € 2,960.19 ",364
201902,BEER&CIDER,Store 4," € 14,255.54 ",2444
202004,SPIRITS,Store 8," € 8,782.97 ",581
201943,BEER&CIDER,Store 3," € 68,632.20 ",39130
202239,SPIRITS,Store 6," € 3,451.59 ",208
201917,WINES,Store 12," € 2,676.53 ",347
202114,WINES,Store 2," € 42,196.01 ",5079
201902,WINES,Store 13," € 3,184.83 ",407
202040,SPIRITS,Store 9," € 19,268.51 ",1283
201903,SPIRITS,Store 4," € 21,171.19 ",1239
201951,SPIRITS,Store 4," € 14,211.43 ",815
201934,WINES,Store 8," € 11,460.28 ",1499
201737,WINES,Store 2," € 30,864.17 ",4160
202244,WINES,Store 11, € 234.00 ,26
201941,WINES,Store 9," € 18,273.23 ",2409
201827,BEER&CIDER,Store 11," € 3,192.71 ",728
202202,BEER&CIDER,Store 8," € 10,068.50 ",1049
201945,BEER&CIDER,Store 2," € 20,383.91 ",6119
202211,WINES,Store 8," € 10,450.09 ",1196
202215,BEER&CIDER,Store 1," € 29,501.85 ",2964
201917,WINES,Store 11," € 2,826.46 ",373
202229,SPIRITS,Store 13," € 1,951.39 ",139
201733,WINES,Store 13," € 2,750.19 ",355
201740,BEER&CIDER,Store 10," € 12,452.09 ",3666
201817,BEER&CIDER,Store 1," € 33,183.11 ",9265
202229,SPIRITS,Store 9," € 8,461.53 ",572
201822,BEER&CIDER,Store 13," € 3,361.63 ",737
202047,BEER&CIDER,Store 10," € 9,297.34 ",1907
201738,BEER&CIDER,Store 11," € 2,630.33 ",598
202012,BEER&CIDER,Store 3," € 34,882.64 ",7497
201906,WINES,Store 1," € 27,888.64 ",3380
202035,BEER&CIDER,Store 12," € 5,092.01 ",1179
202037,SPIRITS,Store 1," € 42,343.08 ",2765
201808,WINES,Store 11," € 2,549.21 ",329
201917,BEER&CIDER,Store 10," € 10,070.58 ",3640
201845,SPIRITS,Store 3," € 13,138.84 ",849
201746,WINES,Store 8," € 6,973.03 ",919
202030,BEER&CIDER,Store 4," € 21,156.20 ",4853
201745,BEER&CIDER,Store 3," € 12,507.56 ",2765
201812,BEER&CIDER,Store 13," € 3,072.25 ",641
201723,BEER&CIDER,Store 4," € 24,788.05 ",10097
202134,WINES,Store 12," € 4,143.45 ",494
202149,BEER&CIDER,Store 13," € 2,963.91 ",451
201914,SPIRITS,Store 3," € 18,714.45 ",1326
202025,SPIRITS,Store 12," € 2,225.60 ",139
202145,SPIRITS,Store 11," € 1,292.29 ",95
201728,SPIRITS,Store 12," € 1,187.07 ",95
202011,SPIRITS,Store 9," € 12,723.36 ",823
